---------------------------------------


Marginal Probabilities
---------------------------------------
_ : 0.16886
a : 0.06137
c : 0.02802
b : 0.01209
e : 0.10498
d : 0.02649
g : 0.01583
f : 0.01928
i : 0.06334
h : 0.03892
k : 0.00347
j : 0.00061
m : 0.02201
l : 0.03705
o : 0.0696
n : 0.05686
q : 0.00089
p : 0.0189
s : 0.05635
r : 0.04802
u : 0.02306
t : 0.08034
w : 0.01292
v : 0.01113
y : 0.01721
x : 0.00162
z : 0.00073


Emission Probabilities
---------------------------------------
P( y | u ) = 0.04733
P( y | v ) = 0.00055
P( y | w ) = 0.00047
P( y | x ) = 0.00348
P( y | y ) = 0.80093
P( y | z ) = 0.00694
P( z | _ ) = 4e-05
P( z | a ) = 0.06581
P( z | b ) = 0.00051
P( z | c ) = 0.00022
P( z | d ) = 0.00023
P( z | e ) = 6e-05
P( z | f ) = 0.00032
P( z | g ) = 0.00039
P( z | h ) = 0.00016
P( z | i ) = 0.0001
P( z | j ) = 0.00794
P( z | k ) = 0.00171
P( z | l ) = 0.00017
P( z | m ) = 0.00028
P( z | n ) = 0.00011
P( z | o ) = 9e-05
P( z | p ) = 0.00033
P( z | q ) = 0.00588
P( z | r ) = 0.00013
P( z | s ) = 0.03792
P( z | t ) = 8e-05
P( z | u ) = 0.00027
P( z | v ) = 0.00055
P( z | w ) = 0.00047
P( z | x ) = 0.0453
P( z | y ) = 0.00036
P( z | z ) = 0.65278


Transition Probabilities
---------------------------------------
P( _ | _ ) = 4e-05
P( _ | a ) = 0.06763
P( _ | b ) = 0.00963
P( _ | c ) = 0.03416
P( _ | d ) = 0.47321
P( _ | e ) = 0.32949
P( _ | f ) = 0.37113
P( _ | g ) = 0.27096
P( _ | h ) = 0.09232
P( _ | i ) = 0.00156
P( _ | j ) = 0.00794
P( _ | k ) = 0.26962
P( _ | l ) = 0.21816
P( _ | m ) = 0.18431
P( _ | n ) = 0.25106
P( _ | o ) = 0.11957
P( _ | p ) = 0.03192
P( _ | q ) = 0.01765
P( _ | r ) = 0.20962
P( _ | s ) = 0.38817
P( _ | t ) = 0.22045
P( _ | u ) = 0.01016
P( _ | v ) = 0.0011
P( _ | w ) = 0.07072
P( _ | x ) = 0.09756
P( _ | y ) = 0.78413
P( _ | z ) = 0.00694
P( a | _ ) = 0.10518
P( a | a ) = 0.0001
P( a | b ) = 0.03799
P( a | c ) = 0.15998
P( a | d ) = 0.0219
P( a | e ) = 0.03557
P( a | f ) = 0.04312
P( a | g ) = 0.07803
P( a | h ) = 0.19927
P( a | i ) = 0.03482
P( a | j ) = 0.04762
P( a | k ) = 0.00512
P( a | l ) = 0.05425
P( a | m ) = 0.21204
P( a | n ) = 0.03464
P( a | o ) = 0.00792
P( a | p ) = 0.07427
P( a | q ) = 0.00588
P( a | r ) = 0.07851
P( a | s ) = 0.02121
P( a | t ) = 0.03526
P( a | u ) = 0.04091
P( a | v ) = 0.07861
P( a | w ) = 0.09587
P( a | x ) = 0.18118
P( a | y ) = 0.00393
P( a | z ) = 0.375
P( b | _ ) = 0.0495
P( b | a ) = 0.02251
P( b | b ) = 0.00253
P( b | c ) = 0.00022
P( b | d ) = 0.00023
P( b | e ) = 0.00106
P( b | f ) = 0.00032
P( b | g ) = 0.00039
P( b | h ) = 0.00143
P( b | i ) = 0.00763
P( b | j ) = 0.00794
P( b | k ) = 0.00171
P( b | l ) = 0.00017
P( b | m ) = 0.01064
P( b | n ) = 0.00011
P( b | o ) = 0.01371
P( b | p ) = 0.00033
P( b | q ) = 0.00588
P( b | r ) = 0.00168
P( b | s ) = 0.00033
P( b | t ) = 0.00015
P( b | u ) = 0.01497
P( b | v ) = 0.00055
P( b | w ) = 0.00047
P( b | x ) = 0.00348
P( b | y ) = 0.00465
P( b | z ) = 0.00694
P( c | _ ) = 0.04153
P( c | a ) = 0.03906
P( c | b ) = 0.00101
P( c | c ) = 0.01543
P( c | d ) = 0.0007
P( c | e ) = 0.0452
P( c | f ) = 0.00192
P( c | g ) = 0.00039
P( c | h ) = 0.00016
P( c | i ) = 0.07766
P( c | j ) = 0.00794
P( c | k ) = 0.00171
P( c | l ) = 0.001
P( c | m ) = 0.00028
P( c | n ) = 0.04248
P( c | o ) = 0.03953
P( c | p ) = 0.00033
P( c | q ) = 0.00588
P( c | r ) = 0.01006
P( c | s ) = 0.01594
P( c | t ) = 0.00247
P( c | u ) = 0.05321
P( c | v ) = 0.00055
P( c | w ) = 0.00047
P( c | x ) = 0.0662
P( c | y ) = 0.02073
P( c | z ) = 0.00694
P( d | _ ) = 0.029
P( d | a ) = 0.02836
P( d | b ) = 0.00051
P( d | c ) = 0.00022
P( d | d ) = 0.00443
P( d | e ) = 0.05749
P( d | f ) = 0.00032
P( d | g ) = 0.00039
P( d | h ) = 0.00016
P( d | i ) = 0.03032
P( d | j ) = 0.00794
P( d | k ) = 0.03072
P( d | l ) = 0.05642
P( d | m ) = 0.00028
P( d | n ) = 0.12406
P( d | o ) = 0.02021
P( d | p ) = 0.00033
P( d | q ) = 0.00588
P( d | r ) = 0.01483
P( d | s ) = 0.00011
P( d | t ) = 0.00015
P( d | u ) = 0.01497
P( d | v ) = 0.00055
P( d | w ) = 0.00522
P( d | x ) = 0.00348
P( d | y ) = 0.00036
P( d | z ) = 0.00694
P( e | _ ) = 0.03087
P( e | a ) = 0.0002
P( e | b ) = 0.4078
P( e | c ) = 0.14191
P( e | d ) = 0.17568
P( e | e ) = 0.02688
P( e | f ) = 0.06388
P( e | g ) = 0.14752
P( e | h ) = 0.42174
P( e | i ) = 0.06563
P( e | j ) = 0.13492
P( e | k ) = 0.36007
P( e | l ) = 0.17142
P( e | m ) = 0.18992
P( e | n ) = 0.09051
P( e | o ) = 0.00525
P( e | p ) = 0.1759
P( e | q ) = 0.00588
P( e | r ) = 0.25087
P( e | s ) = 0.11166
P( e | t ) = 0.10278
P( e | u ) = 0.04198
P( e | v ) = 0.60143
P( e | w ) = 0.22781
P( e | x ) = 0.09059
P( e | y ) = 0.01787
P( e | z ) = 0.38889
P( f | _ ) = 0.03594
P( f | a ) = 0.00424
P( f | b ) = 0.00101
P( f | c ) = 0.00022
P( f | d ) = 0.00047
P( f | e ) = 0.01784
P( f | f ) = 0.06228
P( f | g ) = 0.00039
